Degree,Major,degree_entities,major_entities,relationships
Bachelor of Arts,Chinese Language,"[('Bachelor of Arts', 'Degree')]","[('Chinese Language', 'Major')]","[{'from_type': 'Major', 'from_id': 'Chinese Language', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Chinese Studies,"[('Bachelor of Arts', 'Degree')]","[('Chinese Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'Chinese Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,English Language and Linguistics,"[('Bachelor of Arts', 'Degree')]","[('English Language and Linguistics', 'Major')]","[{'from_type': 'Major', 'from_id': 'English Language and Linguistics', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,English Literature,"[('Bachelor of Arts', 'Degree')]","[('English Literature', 'Major')]","[{'from_type': 'Major', 'from_id': 'English Literature', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Global Studies,"[('Bachelor of Arts', 'Degree')]","[('Global Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'Global Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,History,"[('Bachelor of Arts', 'Degree')]","[('History', 'Major')]","[{'from_type': 'Major', 'from_id': 'History', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Japanese Studies,"[('Bachelor of Arts', 'Degree')]","[('Japanese Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'Japanese Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Malay Studies,"[('Bachelor of Arts', 'Degree')]","[('Malay Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'Malay Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Philosophy,"[('Bachelor of Arts', 'Degree')]","[('Philosophy', 'Major')]","[{'from_type': 'Major', 'from_id': 'Philosophy', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,South Asian Studies,"[('Bachelor of Arts', 'Degree')]","[('South Asian Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'South Asian Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Southeast Asian Studies,"[('Bachelor of Arts', 'Degree')]","[('Southeast Asian Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'Southeast Asian Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Theatre and Performance Studies,"[('Bachelor of Arts', 'Degree')]","[('Theatre and Performance Studies', 'Major')]","[{'from_type': 'Major', 'from_id': 'Theatre and Performance Studies', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Anthropology,"[('Bachelor of Arts', 'Degree')]","[('Anthropology', 'Major')]","[{'from_type': 'Major', 'from_id': 'Anthropology', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Communications and New Media,"[('Bachelor of Arts', 'Degree')]","[('Communications and New Media', 'Major')]","[{'from_type': 'Major', 'from_id': 'Communications and New Media', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Economics,"[('Bachelor of Arts', 'Degree')]","[('Economics', 'Major')]","[{'from_type': 'Major', 'from_id': 'Economics', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Geography,"[('Bachelor of Arts', 'Degree')]","[('Geography', 'Major')]","[{'from_type': 'Major', 'from_id': 'Geography', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Political Science,"[('Bachelor of Arts', 'Degree')]","[('Political Science', 'Major')]","[{'from_type': 'Major', 'from_id': 'Political Science', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Psychology,"[('Bachelor of Arts', 'Degree')]","[('Psychology', 'Major')]","[{'from_type': 'Major', 'from_id': 'Psychology', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Social Work,"[('Bachelor of Arts', 'Degree')]","[('Social Work', 'Major')]","[{'from_type': 'Major', 'from_id': 'Social Work', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Sociology,"[('Bachelor of Arts', 'Degree')]","[('Sociology', 'Major')]","[{'from_type': 'Major', 'from_id': 'Sociology', 'to_type': 'Degree', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
