Title,Tech Skills
Computer and Information Systems Managers,['Operating system software']
Computer and Information Systems Managers,['Content workflow software']
Computer and Information Systems Managers,['Accounting software']
Computer and Information Systems Managers,['Software defined networking/ virtualization software']
Computer and Information Systems Managers,['Access software']
Computer and Information Systems Managers,['Office suite software']
Computer and Information Systems Managers,['Transaction server software']
Computer and Information Systems Managers,['Network monitoring software']
Computer and Information Systems Managers,['Enterprise application integration software']
Computer and Information Systems Managers,['Filesystem software']
Computer and Information Systems Managers,['Network security and virtual private network VPN equipment software']
Computer and Information Systems Managers,['Data mining software']
Computer and Information Systems Managers,['Helpdesk or call center software']
Computer and Information Systems Managers,['Human resources software']
Computer and Information Systems Managers,['Business intelligence and data analysis software']
Computer and Information Systems Managers,['Communications server software']
Computer and Information Systems Managers,['Platform interconnectivity software']
Computer and Information Systems Managers,['Enterprise system management software']
Computer and Information Systems Managers,['Analytical or scientific software']
Computer and Information Systems Managers,['Cloud-based management software']
Computer and Information Systems Managers,['Enterprise resource planning ERP software']
Computer and Information Systems Managers,['LAN software']
Computer and Information Systems Managers,['Transaction security and virus protection software']
Computer and Information Systems Managers,['Application server software']
Computer and Information Systems Managers,['Calendar and scheduling software']
Computer and Information Systems Managers,['Electronic mail software']
Computer and Information Systems Managers,['Web page creation and editing software']
Computer and Information Systems Managers,['Internet browser software']
Computer and Information Systems Managers,['Network conferencing software']
Computer and Information Systems Managers,['Project management software']
Computer and Information Systems Managers,['Cloud-based data access and sharing software']
Computer and Information Systems Managers,['Process mapping and design software']
Computer and Information Systems Managers,['Object oriented data base management software']
Computer and Information Systems Managers,['Wireless software']
Computer and Information Systems Managers,['Financial analysis software']
Computer and Information Systems Managers,['Configuration management software']
Computer and Information Systems Managers,['Compliance software']
Computer and Information Systems Managers,['Metadata management software']
Computer and Information Systems Managers,['Data base reporting software']
Computer and Information Systems Managers,['Cloud-based protection or security software']
Computer and Information Systems Managers,['Network connectivity terminal emulation software']
Computer and Information Systems Managers,['Graphical user interface development software']
Computer and Information Systems Managers,['Requirements analysis and system architecture software']
Computer and Information Systems Managers,['Backup or archival software']
Computer and Information Systems Managers,['Clustering software']
Financial Managers,['Desktop calculator']
Financial Managers,['Desktop computers']
Financial Managers,['Notebook computers']
Financial Managers,['Personal computers']
Financial Managers,['Personal digital assistant PDAs or organizers']
Financial Managers,['Scanners']
Financial Managers,['Tablet computers']
Financial Managers,['Accounting software']
Financial Managers,['Document management software']
Financial Managers,['Human resources software']
Financial Managers,['Business intelligence and data analysis software']
Financial Managers,['Financial analysis software']
Financial Managers,['Customer relationship management CRM software']
Financial Managers,['Data base user interface and query software']
Financial Managers,['Medical software']
Financial Managers,['Electronic mail software']
Financial Managers,['Enterprise system management software']
Financial Managers,['Analytical or scientific software']
Financial Managers,['Internet browser software']
Financial Managers,['Information retrieval or search software']
Financial Managers,['Sales and marketing software']
Financial Managers,['Enterprise resource planning ERP software']
Financial Managers,['Spreadsheet software']
Financial Managers,['Office suite software']
Financial Managers,['Presentation software']
Financial Managers,['Project management software']
Financial Managers,['Cloud-based data access and sharing software']
Financial Managers,['Process mapping and design software']
Financial Managers,['Development environment software']
Financial Managers,['Operating system software']
Financial Managers,['Word processing software']
Financial Managers,['Object or component oriented development software']
Financial Managers,['Data base reporting software']
Financial Managers,['Compliance software']
Financial Managers,['Data base management system software']
Treasurers and Controllers,['Desktop calculator']
Treasurers and Controllers,['Desktop computers']
Treasurers and Controllers,['Notebook computers']
Treasurers and Controllers,['Personal computers']
Treasurers and Controllers,['Personal digital assistant PDAs or organizers']
Treasurers and Controllers,['Tablet computers']
Treasurers and Controllers,['Accounting software']
Treasurers and Controllers,['Enterprise resource planning ERP software']
Treasurers and Controllers,['Human resources software']
Treasurers and Controllers,['Customer relationship management CRM software']
Treasurers and Controllers,['Spreadsheet software']
Treasurers and Controllers,['Data base user interface and query software']
Treasurers and Controllers,['Web platform development software']
Treasurers and Controllers,['Business intelligence and data analysis software']
Treasurers and Controllers,['Financial analysis software']
Treasurers and Controllers,['Network conferencing software']
Treasurers and Controllers,['Office suite software']
Treasurers and Controllers,['Electronic mail software']
Treasurers and Controllers,['Presentation software']
Treasurers and Controllers,['Project management software']
Treasurers and Controllers,['Word processing software']
Treasurers and Controllers,['Data base reporting software']
Investment Fund Managers,['Desktop computers']
Investment Fund Managers,['Notebook computers']
Investment Fund Managers,['Special purpose telephones']
Investment Fund Managers,['Personal computers']
Investment Fund Managers,['Teleconference equipment']
Investment Fund Managers,['Videoconferencing systems']
Investment Fund Managers,['Computer aided design CAD software']
Investment Fund Managers,['Accounting software']
Investment Fund Managers,['Data base user interface and query software']
Investment Fund Managers,['Spreadsheet software']
Investment Fund Managers,['Map creation software']
Investment Fund Managers,['Office suite software']
Investment Fund Managers,['Electronic mail software']
Investment Fund Managers,['Business intelligence and data analysis software']
Investment Fund Managers,['Presentation software']
Investment Fund Managers,['Project management software']
Investment Fund Managers,['Process mapping and design software']
Investment Fund Managers,['Word processing software']
Investment Fund Managers,['Enterprise resource planning ERP software']
Investment Fund Managers,['Financial analysis software']
Investment Fund Managers,['Document management software']
Investment Fund Managers,['Analytical or scientific software']
Investment Fund Managers,['Internet browser software']
Industrial Production Managers,['Air samplers or collectors']
Industrial Production Managers,['All terrain vehicles tracked or wheeled']
Industrial Production Managers,['Combustible or hazardous gas detectors for power generators']
Industrial Production Managers,['Desktop computers']
Industrial Production Managers,['Diesel generators']
Industrial Production Managers,['Flare or vent stacks']
Industrial Production Managers,['Forklifts']
Industrial Production Managers,['Gas detectors']
Industrial Production Managers,['Gas generators']
Industrial Production Managers,['Anemometers']
Industrial Production Managers,['Multi gas monitors']
Industrial Production Managers,['Notebook computers']
Industrial Production Managers,['Oxygen gas analyzers']
Industrial Production Managers,['Personal computers']
Industrial Production Managers,['Personal digital assistant PDAs or organizers']
Industrial Production Managers,['Pressure sensors']
Industrial Production Managers,['Safety valves']
Industrial Production Managers,['Scanners']
Industrial Production Managers,['Squares']
Industrial Production Managers,['Tablet computers']
Industrial Production Managers,['Tape measures']
Industrial Production Managers,['Taper gauge']
Industrial Production Managers,['Light trucks or sport utility vehicles']
Industrial Production Managers,['Calipers']
Industrial Production Managers,['Facilities management software']
Industrial Production Managers,['Document management software']
Industrial Production Managers,['Video creation and editing software']
Industrial Production Managers,['Desktop publishing software']
Industrial Production Managers,['Graphics or photo imaging software']
Industrial Production Managers,['Computer aided design CAD software']
Industrial Production Managers,['Industrial control software']
Industrial Production Managers,['Human resources software']
Industrial Production Managers,['Calendar and scheduling software']
Industrial Production Managers,['Inventory management software']
Industrial Production Managers,['Data base user interface and query software']
Industrial Production Managers,['Desktop communications software']
Industrial Production Managers,['Electronic mail software']
Industrial Production Managers,['Financial analysis software']
Industrial Production Managers,['Development environment software']
Industrial Production Managers,['Accounting software']
Industrial Production Managers,['Analytical or scientific software']
Industrial Production Managers,['Spreadsheet software']
Industrial Production Managers,['Office suite software']
Industrial Production Managers,['Presentation software']
Industrial Production Managers,['Project management software']
Industrial Production Managers,['Word processing software']
Industrial Production Managers,['Enterprise resource planning ERP software']
Industrial Production Managers,['Business intelligence and data analysis software']
Industrial Production Managers,['Internet browser software']
Quality Control Systems Managers,['Laboratory diluters']
Quality Control Systems Managers,['Microplate readers']
Quality Control Systems Managers,['Immunology analyzers']
Quality Control Systems Managers,['Inkjet printers']
Quality Control Systems Managers,['Instrumentation for capillary electrophoresis']
Quality Control Systems Managers,['Infrared spectrometers']
Quality Control Systems Managers,['Gas chromatographs']
Quality Control Systems Managers,['Portable data input terminals']
Quality Control Systems Managers,['Spectrometers']
Quality Control Systems Managers,['Analytical balances']
Quality Control Systems Managers,['Benchtop centrifuges']
Quality Control Systems Managers,['Extracting equipment for laboratories']
Quality Control Systems Managers,['Moisture balances']
Quality Control Systems Managers,['Notebook computers']
Quality Control Systems Managers,['Liquid chromatographs']
Quality Control Systems Managers,['Personal computers']
Quality Control Systems Managers,['pH meters']
Quality Control Systems Managers,['Titration equipment']
Quality Control Systems Managers,['Analytical or scientific software']
Quality Control Systems Managers,['Document management software']
Quality Control Systems Managers,['Industrial control software']
Quality Control Systems Managers,['Content workflow software']
Quality Control Systems Managers,['Data base user interface and query software']
Quality Control Systems Managers,['Desktop communications software']
Quality Control Systems Managers,['Compliance software']
Quality Control Systems Managers,['Enterprise application integration software']
Quality Control Systems Managers,['Program testing software']
Quality Control Systems Managers,['Operating system software']
Quality Control Systems Managers,['Risk management data and analysis software']
Quality Control Systems Managers,['Spreadsheet software']
Quality Control Systems Managers,['Office suite software']
Quality Control Systems Managers,['Electronic mail software']
Quality Control Systems Managers,['Presentation software']
Quality Control Systems Managers,['Project management software']
Quality Control Systems Managers,['Process mapping and design software']
Quality Control Systems Managers,['Word processing software']
Quality Control Systems Managers,['Object or component oriented development software']
Quality Control Systems Managers,['Enterprise resource planning ERP software']
Quality Control Systems Managers,['Internet browser software']
Geothermal Production Managers,['Portable data input terminals']
Geothermal Production Managers,['Desktop computers']
