Degree,Major,degree_entities,major_entities,relationships
Bachelor of Arts,History,"[('Bachelor of Arts', 'DEGREE')]","[('History', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'History', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Japanese Studies,"[('Bachelor of Arts', 'DEGREE')]","[('Japanese Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Japanese Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Malay Studies,"[('Bachelor of Arts', 'DEGREE')]","[('Malay Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Malay Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Philosophy,"[('Bachelor of Arts', 'DEGREE')]","[('Philosophy', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Philosophy', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,South Asian Studies,"[('Bachelor of Arts', 'DEGREE')]","[('South Asian Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'South Asian Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Southeast Asian Studies,"[('Bachelor of Arts', 'DEGREE')]","[('Southeast Asian Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Southeast Asian Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Theatre and Performance Studies,"[('Bachelor of Arts', 'DEGREE')]","[('Theatre and Performance Studies', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Theatre and Performance Studies', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Anthropology,"[('Bachelor of Arts', 'DEGREE')]","[('Anthropology', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Anthropology', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Communications and New Media,"[('Bachelor of Arts', 'DEGREE')]","[('Communications and New Media', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Communications and New Media', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Economics,"[('Bachelor of Arts', 'DEGREE')]","[('Economics', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Economics', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Geography,"[('Bachelor of Arts', 'DEGREE')]","[('Geography', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Geography', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Political Science,"[('Bachelor of Arts', 'DEGREE')]","[('Political Science', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Political Science', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
Bachelor of Arts,Psychology,"[('Bachelor of Arts', 'DEGREE')]","[('Psychology', 'MAJOR')]","[{'from_type': 'MAJOR', 'from_id': 'Psychology', 'to_type': 'DEGREE', 'to_id': 'Bachelor of Arts', 'type': 'IS_UNDER'}]"
